Reference,DOI,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibroin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_Chitosan_Conc_(%w/v),Final_CS-AEMA_Conc_(%w/v),Final_TCP_Conc_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),Final_PEGTA_Conc_(%w/v),Final_PEGMA_Conc_(%w/v),Final_PEGDA_Conc_(%w/v),Final_Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Fiber_Diameter_(µm),Fiber_Spacing_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Matrigel_Used?,Conical_or_Straight_Nozzle,Primary/Not_Primary,Viability_at_time_of_observation_(%),Acceptable_Viability_(Yes/No),Acceptable_Pressure_(Yes/No)
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,272,0,0,600,0,180,,,6.5,0,340,716.9,2500,10000000,10,10,14,Y,N,N,Y,N,N,N,N,S,Primary,83.9,Y,Y
Moncal et al. 2019,10.1007/s10856-019-6258-2,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,67.5,,,3.33,0,337,462,500,10000000,44,37,0,N,N,N,N,N,N,N,N,S,Primary,93,Y,Y
Moncal et al. 2019,10.1007/s10856-019-6258-2,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,67.5,,,3.33,0,337,462,500,10000000,44,37,0,N,N,N,N,N,N,N,N,S,Primary,87.6,Y,Y
Moncal et al. 2019,10.1007/s10856-019-6258-2,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,67.5,,,3.33,0,337,462,500,10000000,44,37,0,N,N,N,N,N,N,N,N,S,Primary,84.8,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,0,6000000,,37,1,Y,Y,N,Y,N,N,N,N,C,Not_Primary,94.8,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,0,6000000,,37,4,Y,Y,N,Y,N,N,N,N,C,Not_Primary,95,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,0,6000000,,37,7,Y,Y,N,Y,N,N,N,N,C,Not_Primary,95.9,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,0,6000000,,37,1,Y,Y,N,Y,N,N,N,N,C,Not_Primary,94.9,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,0,6000000,,37,4,Y,Y,N,Y,N,N,N,N,C,Not_Primary,93.8,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,0,6000000,,37,7,Y,Y,N,Y,N,N,N,N,C,Not_Primary,90.9,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,0,6000000,,37,1,Y,Y,N,Y,N,N,N,N,C,Not_Primary,90.5,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,0,6000000,,37,4,Y,Y,N,Y,N,N,N,N,C,Not_Primary,90.9,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,0,6000000,,37,7,Y,Y,N,Y,N,N,N,N,C,Not_Primary,93.1,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1174.605,0,6000000,,37,1,Y,Y,N,Y,N,N,N,N,C,Not_Primary,94.2,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1185.569,0,6000000,,37,5,Y,Y,N,Y,N,N,N,N,C,Not_Primary,66.4,N,N
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1974.411,0,6000000,,37,10,Y,Y,N,Y,N,N,N,N,C,Not_Primary,34.6,N,N
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1347.79,0,6000000,,37,1,Y,Y,N,Y,N,N,N,N,C,Not_Primary,95.2,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1430.34,0,6000000,,37,5,Y,Y,N,Y,N,N,N,N,C,Not_Primary,88.4,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1215.505,0,6000000,,37,10,Y,Y,N,Y,N,N,N,N,C,Not_Primary,74.7,N,N
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1319.245,0,6000000,,37,1,Y,Y,N,Y,N,N,N,N,C,Not_Primary,93.2,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1385.098,0,6000000,,37,5,Y,Y,N,Y,N,N,N,N,C,Not_Primary,89.1,Y,Y
Kang et al. 2020,10.1002/smll.201905505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1210.715,0,6000000,,37,10,Y,Y,N,Y,N,N,N,N,C,Not_Primary,83.3,Y,Y
Gao et al .2017,10.1002/adfm.201700798,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,5,,,,1067,1327,1240.192,0,10000000,,22,0,N,Y,N,Y,N,N,N,N,S,Primary,80,Y,Y
Gao et al .2017,10.1002/adfm.201700798,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,5,,,,1067,1327,1059.551,0,10000000,,22,1,N,Y,N,Y,N,N,N,N,S,Primary,90,Y,Y
Gao et al .2017,10.1002/adfm.201700798,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,5,,,,1067,1327,1274.433,0,10000000,,22,4,N,Y,N,Y,N,N,N,N,S,Primary,90,Y,Y
Gao et al .2017,10.1002/adfm.201700798,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,5,,,,1067,1327,1315.53,0,10000000,,22,7,N,Y,N,Y,N,N,N,N,S,Primary,90,Y,Y
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.47,,0.0333,,0,1190,1190,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,72,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,68.95,,0.0333,,0,1190,1190,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,61,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,137.9,,0.0333,,0,1190,1190,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,43,N,N
Yu et al. 2013,10.1115/1.4024575,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.47,,0.0333,,0,1190,1190,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,89,Y,Y
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.47,,0.0333,,0,1190,1190,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,68,N,N
Yu et al. 2013,10.1115/1.4024575,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.47,,0.0333,,0,1190,1190,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,31,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.47,,0.0333,,0,1190,1190,,4000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,70,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,68.95,,0.0333,,0,1190,1190,,4000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,62,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,137.9,,0.0333,,0,1190,1190,,4000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,42,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.47,,0.0333,,0,1190,1190,,8000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,70,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,68.95,,0.0333,,0,1190,1190,,8000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,61,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,137.9,,0.0333,,0,1190,1190,,8000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,42,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.47,,0.0333,,641,1190,1103.19,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,68,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,68.95,,0.0333,,641,1190,1103.19,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,51.75,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,137.9,,0.0333,,641,1190,1103.19,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,40,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.47,,0.0333,,641,1190,1103.19,,2000000,,22,1,N,Y,N,N,N,N,N,N,S,Primary,69.8,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,68.95,,0.0333,,641,1190,1103.19,,2000000,,22,1,N,Y,N,N,N,N,N,N,S,Primary,64.8,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,137.9,,0.0333,,641,1190,1103.19,,2000000,,22,1,N,Y,N,N,N,N,N,N,S,Primary,61.3,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.47,,0.0333,,641,1190,1103.19,,2000000,,22,3,N,Y,N,N,N,N,N,N,S,Primary,95.6,Y,Y
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,68.95,,0.0333,,641,1190,1103.19,,2000000,,22,3,N,Y,N,N,N,N,N,N,S,Primary,93.4,Y,Y
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,137.9,,0.0333,,641,1190,1103.19,,2000000,,22,3,N,Y,N,N,N,N,N,N,S,Primary,92.3,Y,Y
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.7,,0.0333,,457,1190,1227.6,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,89,Y,Y
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.7,,0.0333,,457,1190,,,2000000,,22,1,N,Y,N,N,N,N,N,N,S,Primary,92.1,Y,Y
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,34.7,,0.0333,,457,1190,1136.08,,2000000,,22,3,N,Y,N,N,N,N,N,N,S,Primary,97,Y,Y
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,68.95,,0.0333,,457,1190,1227.6,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,69,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,68.95,,0.0333,,457,1190,,,2000000,,22,1,N,Y,N,N,N,N,N,N,S,Primary,75.5,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,68.95,,0.0333,,457,1190,1136.08,,2000000,,22,3,N,Y,N,N,N,N,N,N,S,Primary,97,Y,Y
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,137.9,,0.0333,,457,1190,1227.6,,2000000,,22,0.5,N,Y,N,N,N,N,N,N,S,Primary,36,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,137.9,,0.0333,,457,1190,,,2000000,,22,1,N,Y,N,N,N,N,N,N,S,Primary,63,N,N
Yu et al. 2013,10.1115/1.4024575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,137.9,,0.0333,,457,1190,1136.08,,2000000,,22,3,N,Y,N,N,N,N,N,N,S,Primary,98,Y,Y
Zhang et al. 2013,10.1088/1758-5082/5/2/025004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,,14,0.00333333,,641,1270,,,2000000,,22,1,Y,N,N,N,N,N,N,N,S,Primary,97.6,Y,Y
Zhang et al. 2013,10.1088/1758-5082/5/2/025004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,,14,0.00333333,,641,1270,,,2000000,,22,4,Y,N,N,N,N,N,N,N,S,Primary,95.8,Y,Y
Zhang et al. 2013,10.1088/1758-5082/5/2/025004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,,14,0.00333333,,641,1270,,,2000000,,22,7,Y,N,N,N,N,N,N,N,S,Primary,95.1,Y,Y
Zhang et al. 2015,10.1039/C4BM00234B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,21,,,,520,540,819.92,,10000000,,22,1,N,Y,N,N,N,N,N,N,S,Primary,33,N,N
Zhang et al. 2015,10.1039/C4BM00234B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,21,,,,520,540,700.35,,10000000,,22,4,N,Y,N,N,N,N,N,N,S,Primary,68,N,N
Zhang et al. 2015,10.1039/C4BM00234B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4,0,0,0,,0,21,,,,520,540,677.57,,10000000,,22,7,N,Y,N,N,N,N,N,N,S,Primary,84,Y,Y
Jia et al. 2016,10.1016/j.biomaterials.2016.07.038,3,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,20,,,0.000583333,4,565,603,1105.56,,6000000,,22,1,Y,Y,N,Y,N,Y,N,N,S,Primary,83.8,Y,Y
Jia et al. 2016,10.1016/j.biomaterials.2016.07.038,3,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,30,,,0.000583333,4,565,603,934.1,,6000000,,22,1,Y,Y,N,Y,N,Y,N,N,S,Primary,80.3,Y,Y
Jia et al. 2016,10.1016/j.biomaterials.2016.07.038,3,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,40,,,0.000583333,4,565,603,838.11,,6000000,,22,1,Y,Y,N,Y,N,Y,N,N,S,Primary,70.1,N,N
Jia et al. 2016,10.1016/j.biomaterials.2016.07.038,3,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,20,,,0.000583333,4,565,603,1159.63,,6000000,,22,3,Y,Y,N,Y,N,Y,N,N,S,Primary,85.5,Y,Y
Jia et al. 2016,10.1016/j.biomaterials.2016.07.038,3,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,30,,,0.000583333,4,565,603,873.47,,6000000,,22,3,Y,Y,N,Y,N,Y,N,N,S,Primary,86.3,Y,Y
Jia et al. 2016,10.1016/j.biomaterials.2016.07.038,3,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,40,,,0.000583333,4,565,603,896.4,,6000000,,22,3,Y,Y,N,Y,N,Y,N,N,S,Primary,70.9,N,N
Jia et al. 2016,10.1016/j.biomaterials.2016.07.038,3,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,20,,,0.000583333,4,565,603,1160.49,,6000000,,22,7,Y,Y,N,Y,N,Y,N,N,S,Primary,89.7,Y,Y
Jia et al. 2016,10.1016/j.biomaterials.2016.07.038,3,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,30,,,0.000583333,4,565,603,968.59,,6000000,,22,7,Y,Y,N,Y,N,Y,N,N,S,Primary,90.4,Y,Y
Jia et al. 2016,10.1016/j.biomaterials.2016.07.038,3,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,40,,,0.000583333,4,565,603,950.61,,6000000,,22,7,Y,Y,N,Y,N,Y,N,N,S,Primary,71.9,N,N
Idaszek et al. 2019,10.1088/1758-5090/ab2622,4,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,,,,235,0,260,173.84,,10000000,,,0,Y,N,N,N,N,Y,N,N,S,Primary,91.4,Y,Y
Idaszek et al. 2019,10.1088/1758-5090/ab2622,4,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,,,,235,0,260,,,10000000,,,7,Y,N,N,N,N,Y,N,N,S,Primary,88.5,Y,Y
Idaszek et al. 2019,10.1088/1758-5090/ab2622,4,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,,,,235,0,260,,,10000000,,,14,Y,N,N,N,N,Y,N,N,S,Primary,84.2,Y,Y
Idaszek et al. 2019,10.1088/1758-5090/ab2622,4,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,,,,235,0,260,184.215,,10000000,,,0,Y,N,N,N,N,Y,N,N,S,Primary,91.9,Y,Y
Idaszek et al. 2019,10.1088/1758-5090/ab2622,4,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,,,,235,0,260,,,10000000,,,7,Y,N,N,N,N,Y,N,N,S,Primary,84.2,Y,Y
Idaszek et al. 2019,10.1088/1758-5090/ab2622,4,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,,,,235,0,260,,,10000000,,,14,Y,N,N,N,N,Y,N,N,S,Primary,88,Y,Y
Idaszek et al. 2019,10.1088/1758-5090/ab2622,4,0,6,0.5,0,0,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,30,,,,235,0,260,226.11,,10000000,,,0,Y,N,N,N,N,Y,N,N,S,Primary,88,Y,Y
Idaszek et al. 2019,10.1088/1758-5090/ab2622,4,0,6,0.5,0,0,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,30,,,,235,0,260,,,10000000,,,7,Y,N,N,N,N,Y,N,N,S,Primary,86.1,Y,Y
Idaszek et al. 2019,10.1088/1758-5090/ab2622,4,0,6,0.5,0,0,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,30,,,,235,0,260,,,10000000,,,14,Y,N,N,N,N,Y,N,N,S,Primary,85.6,Y,Y
Gao et al. 2015,10.1016/j.biomaterials.2015.05.031,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.2,0,0,0,,0,,,0.0167,16.67,819,1600,930.16,,1000000,,,1,Y,Y,N,N,N,N,N,N,S,Not_Primary,92.9,Y,Y
Gao et al. 2015,10.1016/j.biomaterials.2015.05.031,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.2,0,0,0,,0,,,0.0167,16.67,819,1600,930.16,,1000000,,,4,Y,Y,N,N,N,N,N,N,S,Not_Primary,84.7,Y,Y
Gao et al. 2015,10.1016/j.biomaterials.2015.05.031,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.2,0,0,0,,0,,,0.0167,16.67,819,1600,930.16,,1000000,,,7,Y,Y,N,N,N,N,N,N,S,Not_Primary,67.1,N,N
Gao et al. 2015,10.1016/j.biomaterials.2015.05.031,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.2,0,0,0,,0,,,0.0167,16.67,819,1600,930.16,,1000000,,,1,Y,Y,N,N,N,N,N,N,S,Not_Primary,83.8,Y,Y
Gao et al. 2015,10.1016/j.biomaterials.2015.05.031,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.2,0,0,0,,0,,,0.0167,16.67,819,1600,930.16,,1000000,,,4,Y,Y,N,N,N,N,N,N,S,Not_Primary,71.6,N,N
Gao et al. 2015,10.1016/j.biomaterials.2015.05.031,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.2,0,0,0,,0,,,0.0167,16.67,819,1600,930.16,,1000000,,,7,Y,Y,N,N,N,N,N,N,S,Not_Primary,50.2,N,N
Colosi et al. 2016,10.1002/adma.201503310,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,30,,,8.33E-05,4,0,210,222.44,200,10000000,37,22,1,N,Y,N,Y,N,Y,N,N,S,Primary,28,N,N
Colosi et al. 2016,10.1002/adma.201503310,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,30,,,8.33E-05,4,0,210,222.53,200,10000000,37,22,1,N,Y,N,Y,N,Y,N,N,S,Primary,45.3,N,N
Colosi et al. 2016,10.1002/adma.201503310,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,30,,,8.33E-05,4,0,210,211.32,200,10000000,37,22,1,N,Y,N,Y,N,Y,N,N,S,Primary,83.4,Y,Y
Colosi et al. 2016,10.1002/adma.201503310,4,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,15,,,8.33E-05,4,0,210,219.75,200,10000000,37,22,3,N,Y,N,Y,N,Y,N,N,S,Primary,74.3,N,N
Colosi et al. 2016,10.1002/adma.201503310,4,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,20,,,8.33E-05,4,0,210,349.78,200,10000000,37,22,3,N,Y,N,Y,N,Y,N,N,S,Primary,75.7,N,N
Colosi et al. 2016,10.1002/adma.201503310,4,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,25,,,8.33E-05,4,0,210,221.294,200,10000000,37,22,3,N,Y,N,Y,N,Y,N,N,S,Primary,82.7,Y,Y
Colosi et al. 2016,10.1002/adma.201503310,4,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,30,,,8.33E-05,4,0,210,318.22,200,10000000,37,22,3,N,Y,N,Y,N,Y,N,N,S,Primary,74,N,N
Colosi et al. 2016,10.1002/adma.201503310,4,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,45,,,8.33E-05,4,0,210,310.92,200,10000000,37,22,3,N,Y,N,Y,N,Y,N,N,S,Primary,55,N,N
Colosi et al. 2016,10.1002/adma.201503310,4,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,,60,,,8.33E-05,4,0,210,247.75,200,10000000,37,22,3,N,Y,N,Y,N,Y,N,N,S,Primary,34.1,N,N
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,679.73,,2500000,,,0,N,Y,N,N,N,Y,N,N,S,Not_Primary,95.9,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,,,2500000,,,1,N,Y,N,N,N,Y,N,N,S,Not_Primary,89.6,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,688.16,,2500000,,,7,N,Y,N,N,N,Y,N,N,S,Not_Primary,87.8,Y,Y
